Job_domain,Skills
Java Developer,"Hibernate Framework,Fullstack Development,MySQL,Spring Boot Framework Java Fullstack,CSS,Hadoop,PHP,HTML,Machine Learning,AngularSalesforce,Java,,Devops,java 8,Spring Boot,core java,Spring"
IT Manager,"release management,operational support,information technology,service management,itil Framwork,remedy,servicenow,operations,itsm,communication skill,sitil"
Application Developer,"c,software development,git,net,programming,css,unit testing,sql server,javascript,application development,sql,design pattern,soops software solutions,software development methodologies,JavaScript, React, Angular, Vue.js, HTML5, CSS3, problem-solving, teamwork,Flutter, iOS, Android, collaboration, testing, performance optimization, Flutter, Dart, Firebase,game level designing, game development, bug fixing, Unity, Android, Java, Unity 3D,Swift, Xcode, iOS, debugging, testing, iOS app development, collaboration, code reviews,Interns, collaborate with development team, mobile applications, Flutter framework, troubleshooting, debugging, optimization, code reviews, constructive feedback, trends, best practices, mobile app development, cross-functional teams, software solutions, mobile development best practices, continuous improvement, team processes, technologies,Mobile Application Developer (Flutter), reporting to team lead, collaboration with internal teams, functional mobile applications development, fast-paced environment,Interns, collaborate with development team, mobile applications, Flutter framework, troubleshooting, debugging, optimization, code reviews, constructive feedback, trends, best practices, mobile app development, cross-functional teams, software solutions, mobile development best practices, continuous improvement, team processes, technologies,Core Java, J2EE Application Development, Jakarta EE, Java,Core Java, Java, Microservices, NoSQL, REST APIs,Reactive Programming,Spring Boo"
AI Developer,"Pytorch,Java,frontend development,Vue.js,CSS,AI/ML,HTML,React,python,Artificial Intelligence (AI),Data Science,Deep Learning,Natural Language Processing (NLP),Pattern Recognition,Problem Solving,Speech Recognition,Artificial Intelligence (AI),Data Science,Deep Learning,Natural Language Processing (NLP),Flask,Image Processing,Data Engineering,Version Management,Artificial Intelligence (AI),Computer Vision,Data Science,Deep Learning,English,image Processing,Machine Learning,Pattern Recognition"
HR Executive,"voice,Sr. HR,HR Generalist,administration,non-voice,back,office,trainee,HR Generalist Activities,HR Operations,Java Spring Boot,recur,Consultancy,Hr Rec,Job Posting,Testing Concepts,HR Consulting"
Backend Developer,"Node.js and Express.js, MySQL, MongoDB, PostgreSQL, RESTful API , Git, cloud computing,AWS, Azure, Google Cloud,Strong communication skills,MySQL,Node.Js,MongoDB,Restful Web Api Development,Database Design And Development,GIT,Jwt,authentication and authorisation,Strong logical skills, Node.js, React.js, Next.js, MongoDB, HTML, JavaScript, CSS, Shopify store customization, Shopify App development, BigCommerce App development, PHP web frameworks, Laravel, Yii, SQL, NoSQL databases, AWS setup, notice period, immediate joining, commitment,Backend, PHP, Laravel framework, MongoDB, MySQL, AWS, Git, GitHub, REST API,Hibernate, JSP, JQeury , HTML, CSS, Javascript, Java, Data structure and Algorithms, SQL"
Python Developer,"Python, PHP, MySQL, NoSQL, UNIX, ,Linux, Django, React, HTML, CSS, XML, JavaScript, jQuery, JSON,Apache,APIs"
Digital Marketing,"Social Media ,Content Marketing,Link Building,Search Engine,Search Engine Marketing,Social Media,Social Media Marketing,Social Media Optimization"
Database Developer,"MS SQL,RDBMS,T SQL,Query Tuning,SQL Development,Database Design,SQL Database,Performance Tuning,SQL DBA"
Business Analyst,"Data Mining,Machine Learning,MATLAB,microsoft excel,Critical Thinking,ERP,SDLC Life Cycle,SQL Database,Prototyping,Python"
Net Developer,"Web Api,Programming,Net Development,MVC,Database Development"
Devops Developer,"DevOps concepts, Salt, Ansible, Terraform, scripting languages, Bash, Python, CI/CD tools, Jenkins, version control systems, Git, Bitbucket, GNU/Linux, Unix-like operating systems, DevSecOps security practices, observability tools, LGTM, ELK stack, containerization technologies, Kubernetes, Docker, public clouds, AWS, Azure, networking, security concepts,Public Clouds (AWS, Azure, Google Cloud Platform), service configuration (Apache, Nginx, MySQL, PHP), Linux servers, Virtualization, Containerization, Linux scripting languages (Python, Perl, Bash), communication skills,AWS SageMaker,Amazon EC2,Amazon Route 53,Amazon Web Services (AWS),Business Requirements,Technical Solution Design,Optimization,Domain Name System (DNS),Solution Architecture"
Support Engineer,"Customer Support, Technical Support, Analytical Skills, Problem-solving, Adaptability, Organization, Detail-oriented, Cross-functional Collaboration"
System Engineer,"C, C++, Linux device drivers,Embedded Systems"
Flutter Engineer,"Flutter, Gaming, and React.js"
iOS Developer,"Mobile Application Development,REST APIs,Swift (Programming Language),iOS Development,Objective-C"
Cloud Engineer,"AWS CloudFormation, Amazon Web Services (AWS),CLI,Cloud Computing,Terraform"
Dotnet Developer,".NET APIs,.NET Core,.NET Framework,ASP.NET,ASP.NET MVC,SQL,Visual Basic .NET (VB.NET)"
Sales Engineer," Incoterms, Sales, and Technical Sales,Engineering"
